4,0,255,255,255
5,0,255,255,255
6,0,255,255,255
3,1,255,255,255
4,1,255,255,255
5,1,255,255,255
6,1,255,255,255
7,1,255,255,255
3,2,255,255,255
4,2,255,255,255
5,2,255,255,255
6,2,255,255,255
7,2,255,255,255
8,2,255,255,255
1,3,255,255,255
2,3,255,255,255
3,3,255,255,255
4,3,255,255,255
5,3,255,255,255
6,3,255,255,255
7,3,255,255,255
8,3,255,255,255
9,3,255,255,255
10,3,255,255,255
0,4,255,255,255
1,4,255,255,255
2,4,255,255,255
3,4,255,255,255
4,4,255,255,255
5,4,255,255,255
6,4,255,255,255
7,4,255,255,255
8,4,255,255,255
9,4,255,255,255
10,4,255,255,255
11,4,255,255,255
0,5,255,255,255
1,5,255,255,255
2,5,255,255,255
3,5,255,255,255
4,5,255,255,255
5,5,255,255,255
6,5,255,255,255
7,5,255,255,255
8,5,255,255,255
9,5,255,255,255
10,5,255,255,255
11,5,255,255,255
1,6,255,255,255
2,6,255,255,255
3,6,255,255,255
4,6,255,255,255
5,6,255,255,255
6,6,255,255,255
7,6,255,255,255
8,6,255,255,255
9,6,255,255,255
10,6,255,255,255
3,7,255,255,255
4,7,255,255,255
5,7,255,255,255
6,7,255,255,255
7,7,255,255,255
8,7,255,255,255
2,9,90,173,233
5,9,90,173,233
8,9,90,173,233
1,11,90,173,233
4,11,90,173,233
7,11,90,173,233
