6,0,255,255,0
1,1,255,255,0
6,1,255,255,0
11,1,255,255,0
2,2,255,255,0
10,2,255,255,0
5,3,255,255,0
6,3,255,255,0
7,3,255,255,0
4,4,255,255,0
5,4,255,255,0
6,4,255,255,0
7,4,255,255,0
8,4,255,255,0
3,5,255,255,0
4,5,255,255,0
5,5,255,255,0
6,5,255,255,0
7,5,255,255,0
8,5,255,255,0
9,5,255,255,0
0,6,255,255,0
1,6,255,255,0
3,6,255,255,0
4,6,255,255,0
5,6,255,255,0
6,6,255,255,0
7,6,255,255,0
8,6,255,255,0
9,6,255,255,0
11,6,255,255,0
12,6,255,255,0
3,7,255,255,0
4,7,255,255,0
5,7,255,255,0
6,7,255,255,0
7,7,255,255,0
8,7,255,255,0
9,7,255,255,0
4,8,255,255,0
5,8,255,255,0
6,8,255,255,0
7,8,255,255,0
8,8,255,255,0
5,9,255,255,0
6,9,255,255,0
7,9,255,255,0
2,10,255,255,0
10,10,255,255,0
1,11,255,255,0
6,11,255,255,0
11,11,255,255,0
6,12,255,255,0
